iter	Passed	Remaining
187	1218	5261
188	1224	5254
189	1232	5255
190	1238	5244
191	1246	5243
192	1251	5232
193	1256	5220
194	1262	5213
195	1269	5206
196	1276	5201
197	1282	5196
198	1289	5190
199	1296	5185
200	1306	5192
201	1315	5197
202	1322	5190
203	1328	5183
204	1333	5172
205	1339	5164
206	1345	5153
207	1351	5146
208	1360	5148
209	1366	5140
210	1373	5137
211	1380	5133
212	1388	5130
213	1395	5127
214	1416	5171
215	1425	5172
216	1438	5191
217	1444	5183
218	1450	5172
219	1456	5163
220	1460	5148
221	1467	5142
222	1477	5146
223	1485	5146
224	1494	5147
225	1518	5200
226	1535	5227
227	1541	5219
228	1549	5215
229	1558	5217
230	1568	5220
231	1573	5208
232	1582	5208
233	1587	5196
234	1599	5205
235	1604	5193
236	1609	5182
237	1615	5173
238	1625	5176
239	1634	5174
240	1638	5161
241	1643	5149
242	1649	5137
243	1656	5132
244	1664	5128
245	1669	5115
246	1674	5106
247	1680	5095
248	1685	5083
249	1693	5081
250	1699	5070
251	1704	5058
252	1710	5049
253	1714	5036
254	1719	5023
255	1726	5017
256	1732	5008
257	1737	4998
258	1743	4988
259	1750	4983
260	1757	4977
261	1764	4970
262	1771	4963
263	1776	4951
264	1783	4945
265	1790	4939
266	1796	4931
267	1803	4925
268	1808	4913
269	1820	4921
270	1834	4933
271	1842	4931
272	1848	4922
273	1856	4920
274	1873	4940
275	1883	4941
276	1932	5044
277	1954	5076
278	1970	5093
279	1978	5088
280	1986	5084
281	1993	5075
282	2004	5079
283	2024	5104
284	2030	5094
285	2040	5093
286	2046	5083
287	2053	5075
288	2059	5065
289	2063	5052
290	2073	5051
291	2081	5046
292	2088	5038
293	2093	5028
294	2101	5021
295	2106	5010
296	2111	4998
297	2118	4990
298	2125	4983
299	2131	4973
300	2137	4963
301	2143	4953
302	2149	4945
303	2156	4938
304	2161	4924
305	2175	4934
306	2184	4930
307	2189	4919
308	2193	4906
309	2202	4902
310	2207	4889
311	2213	4881
312	2220	4873
313	2224	4860
314	2230	4851
315	2236	4839
316	2240	4828
317	2247	4819
318	2253	4810
319	2258	4799
320	2268	4797
321	2273	4787
322	2282	4783
323	2287	4772
324	2292	4761
325	2299	4754
326	2307	4748
327	2315	4744
328	2320	4733
329	2334	4739
330	2345	4741
331	2352	4734
332	2357	4722
333	2364	4715
334	2369	4704
335	2375	4694
336	2383	4688
337	2387	4676
338	2393	4666
339	2400	4659
340	2406	4651
341	2414	4644
342	2418	4632
343	2425	4624
344	2433	4620
345	2438	4609
346	2446	4603
347	2452	4594
348	2460	4589
349	2466	4580
350	2471	4570
351	2478	4563
352	2484	4554
353	2489	4543
354	2496	4536
355	2503	4528
356	2512	4525
357	2520	4520
358	2531	4520
359	2537	4511
360	2545	4505
361	2554	4502
362	2559	4492
363	2566	4484
364	2573	4476
365	2577	4465
366	2583	4456
367	2591	4450
368	2598	4443
369	2605	4436
370	2610	4425
371	2616	4416
372	2622	4408
373	2627	4397
374	2633	4389
375	2639	4379
376	2644	4370
377	2650	4362
378	2656	4353
379	2662	4343
380	2669	4337
381	2674	4327
382	2685	4326
383	2694	4322
384	2700	4313
385	2706	4304
386	2715	4300
387	2722	4293
388	2729	4287
389	2736	4279
390	2741	4269
391	2747	4260
392	2754	4253
393	2760	4245
394	2765	4235
395	2770	4225
396	2780	4223
397	2787	4216
398	2795	4210
399	2802	4203
400	2808	4195
401	2815	4188
402	2825	4185
403	2830	4175
404	2835	4165
405	2845	4163
406	2861	4169
407	2867	4160
408	2874	4153
409	2879	4143
410	2886	4136
411	2891	4126
412	2899	4120
413	2905	4112
414	2914	4108
415	2920	4099
416	2928	4093
417	2934	4085
418	2945	4084
419	2951	4075
420	2956	4066
421	2962	4057
422	2969	4050
423	2978	4046
424	2984	4037
425	2988	4026
426	2995	4019
427	3001	4011
428	3006	4001
429	3012	3993
430	3017	3983
431	3021	3972
432	3026	3963
433	3034	3957
434	3042	3951
435	3047	3941
436	3051	3931
437	3061	3928
438	3067	3919
439	3074	3913
440	3081	3905
441	3088	3899
442	3097	3894
443	3107	3891
444	3120	3892
445	3128	3886
446	3138	3882
447	3148	3878
448	3154	3870
449	3160	3862
450	3165	3853
451	3171	3845
452	3177	3836
453	3184	3829
454	3188	3819
455	3199	3816
456	3204	3808
457	3211	3800
458	3217	3792
459	3223	3783
460	3251	3801
461	3258	3794
462	3263	3785
463	3269	3777
464	3275	3768
465	3283	3762
466	3293	3758
467	3300	3752
468	3310	3748
469	3315	3739
470	3323	3733
471	3331	3726
472	3337	3718
473	3343	3710
474	3349	3702
475	3363	3703
476	3370	3696
477	3378	3688
478	3386	3683
479	3391	3674
480	3397	3665
481	3404	3658
482	3411	3651
483	3418	3644
484	3424	3636
485	3429	3626
486	3436	3619
487	3444	3614
488	3452	3607
489	3460	3602
490	3469	3597
491	3476	3589
492	3487	3586
493	3497	3582
494	3502	3573
495	3508	3565
496	3517	3560
497	3523	3552
498	3531	3545
499	3538	3538
500	3543	3529
501	3550	3522
502	3557	3514
503	3563	3507
504	3570	3499
505	3576	3491
506	3581	3482
507	3592	3479
508	3597	3470
509	3605	3464
510	3614	3459
511	3623	3453
512	3629	3445
513	3635	3437
514	3641	3429
515	3647	3420
516	3655	3415
517	3662	3407
518	3669	3400
519	3674	3391
520	3679	3383
521	3687	3376
522	3693	3368
523	3700	3361
524	3705	3352
525	3711	3344
526	3717	3336
527	3726	3331
528	3734	3325
529	3740	3317
530	3752	3314
531	3758	3306
532	3765	3299
533	3771	3290
534	3777	3283
535	3797	3287
536	3807	3282
537	3814	3275
538	3822	3269
539	3830	3262
540	3842	3260
541	3852	3255
542	3861	3250
543	3875	3248
544	3914	3267
545	3974	3304
546	3987	3302
547	3996	3296
548	4018	3300
549	4049	3313
550	4063	3311
551	4084	3314
552	4092	3308
553	4104	3304
554	4112	3297
555	4121	3291
556	4129	3283
557	4138	3278
558	4155	3278
559	4168	3274
560	4205	3290
561	4228	3295
562	4238	3289
563	4246	3282
564	4255	3276
565	4265	3270
566	4277	3266
567	4285	3259
568	4299	3256
569	4308	3250
570	4320	3245
571	4335	3243
572	4342	3235
573	4355	3232
574	4376	3234
575	4384	3227
576	4393	3220
577	4402	3214
578	4413	3208
579	4421	3201
580	4430	3195
581	4439	3188
582	4449	3182
583	4457	3175
584	4464	3166
585	4476	3162
586	4482	3154
587	4504	3156
588	4513	3149
589	4523	3143
590	4534	3138
591	4548	3134
592	4562	3131
593	4570	3123
594	4579	3117
595	4597	3116
596	4604	3108
597	4614	3102
598	4621	3093
599	4630	3086
600	4639	3080
601	4650	3074
602	4657	3066
603	4673	3064
604	4692	3063
605	4709	3061
606	4726	3060
607	4743	3058
608	4753	3052
609	4769	3049
610	4785	3046
611	4795	3040
612	4809	3036
613	4817	3028
614	4827	3021
615	4834	3013
616	4842	3005
617	4851	2998
618	4859	2991
619	4868	2983
620	4875	2975
621	4883	2968
622	4894	2961
623	4901	2953
624	4910	2946
625	4918	2938
626	4928	2931
627	4934	2922
628	4940	2914
629	4950	2907
630	4955	2898
631	4962	2889
632	4971	2882
633	4989	2880
634	4995	2871
635	5001	2862
636	5008	2854
637	5017	2846
638	5024	2838
639	5030	2829
640	5035	2820
641	5043	2812
642	5050	2804
643	5056	2795
644	5066	2788
645	5075	2781
646	5083	2773
647	5088	2764
648	5095	2756
649	5100	2746
650	5107	2738
651	5113	2729
652	5118	2720
653	5125	2711
654	5135	2704
655	5145	2698
656	5151	2689
657	5158	2681
658	5166	2673
659	5173	2665
660	5181	2657
661	5209	2659
662	5218	2652
663	5228	2645
664	5241	2640
665	5251	2633
666	5274	2633
667	5281	2624
668	5289	2616
669	5296	2608
670	5304	2600
671	5312	2592
672	5318	2584
673	5329	2577
674	5336	2569
675	5342	2560
676	5347	2551
677	5355	2543
678	5361	2534
679	5367	2525
680	5375	2518
681	5380	2508
682	5385	2499
683	5391	2490
684	5401	2483
685	5407	2474
686	5412	2465
687	5418	2457
688	5423	2448
689	5433	2441
690	5441	2433
691	5447	2424
692	5452	2415
693	5458	2406
694	5465	2398
695	5471	2389
696	5476	2380
697	5484	2372
698	5494	2366
699	5500	2357
700	5507	2349
701	5512	2340
702	5519	2331
703	5526	2323
704	5531	2314
705	5536	2305
706	5542	2297
707	5550	2289
708	5556	2280
709	5562	2271
710	5569	2263
711	5573	2254
712	5579	2245
713	5584	2237
714	5592	2229
715	5597	2220
716	5603	2211
717	5612	2204
718	5622	2197
719	5626	2188
720	5634	2180
721	5641	2172
722	5646	2163
723	5653	2155
724	5659	2146
725	5665	2138
726	5676	2131
727	5685	2124
728	5694	2116
729	5700	2108
730	5706	2099
731	5713	2091
732	5722	2084
733	5730	2076
734	5736	2068
735	5750	2062
736	5758	2055
737	5765	2046
738	5773	2039
739	5781	2031
740	5789	2023
741	5797	2015
742	5806	2008
743	5812	1999
744	5822	1992
745	5828	1984
746	5839	1977
747	5847	1969
748	5854	1962
749	5862	1954
750	5871	1946
751	5879	1938
752	5887	1931
753	5893	1922
754	5900	1914
755	5907	1906
756	5915	1899
757	5924	1891
758	5932	1883
759	5939	1875
760	5947	1867
761	5955	1860
762	5961	1851
763	5970	1844
764	5978	1836
765	5983	1827
766	5991	1820
767	5997	1811
768	6011	1805
769	6024	1799
770	6031	1791
771	6041	1784
772	6046	1775
773	6054	1767
774	6063	1760
775	6074	1753
776	6081	1745
777	6090	1737
778	6097	1729
779	6113	1724
780	6120	1716
781	6126	1707
782	6131	1699
783	6138	1691
784	6145	1683
785	6152	1675
786	6162	1667
787	6168	1659
788	6174	1651
789	6183	1643
790	6192	1636
791	6201	1628
792	6209	1620
793	6215	1612
794	6223	1604
795	6229	1596
796	6235	1588
797	6242	1580
798	6248	1571
799	6254	1563
800	6259	1555
801	6265	1546
802	6273	1539
803	6278	1530
804	6284	1522
805	6291	1514
806	6297	1506
807	6305	1498
808	6310	1489
809	6316	1481
810	6323	1473
811	6328	1465
812	6336	1457
813	6341	1448
814	6346	1440
815	6352	1432
816	6357	1424
817	6365	1416
818	6371	1408
819	6376	1399
820	6382	1391
821	6391	1384
822	6398	1376
823	6403	1367
824	6408	1359
825	6413	1351
826	6419	1342
827	6425	1334
828	6437	1327
829	6442	1319
830	6449	1311
831	6454	1303
832	6460	1295
833	6466	1287
834	6473	1279
835	6479	1271
836	6486	1263
837	6492	1255
838	6496	1246
839	6503	1238
840	6508	1230
841	6513	1222
842	6519	1214
843	6525	1206
844	6532	1198
845	6538	1190
846	6549	1183
847	6556	1175
848	6562	1167
849	6569	1159
850	6576	1151
851	6583	1143
852	6591	1135
853	6598	1128
854	6608	1120
855	6613	1112
856	6623	1105
857	6629	1097
858	6637	1089
859	6644	1081
860	6654	1074
861	6662	1066
862	6670	1058
863	6687	1052
864	6695	1044
865	6703	1037
866	6709	1029
867	6718	1021
868	6723	1013
869	6732	1005
870	6739	998
871	6745	990
872	6751	982
873	6759	974
874	6768	966
875	6780	959
876	6789	952
877	6795	944
878	6802	936
879	6810	928
880	6817	920
881	6823	912
882	6829	904
883	6836	897
884	6849	890
885	6859	882
886	6875	875
887	6885	868
888	6893	860
889	6909	853
890	6919	846
891	6932	839
892	6960	833
893	6968	826
894	6989	819
895	6994	811
896	7000	803
897	7004	795
898	7008	787
899	7018	779
900	7025	771
901	7032	764
902	7037	755
903	7050	748
904	7056	740
905	7064	732
906	7072	725
907	7081	717
908	7088	709
909	7097	701
910	7108	694
911	7115	686
912	7122	678
913	7129	670
914	7135	662
915	7142	654
916	7150	647
917	7156	639
918	7164	631
919	7170	623
920	7179	615
921	7187	608
922	7193	600
923	7198	592
924	7207	584
925	7214	576
926	7220	568
927	7225	560
928	7237	553
929	7244	545
930	7252	537
931	7259	529
932	7268	521
933	7276	514
934	7286	506
935	7292	498
936	7298	490
937	7308	483
938	7316	475
939	7322	467
940	7328	459
941	7340	451
942	7348	444
943	7354	436
944	7364	428
945	7378	421
946	7387	413
947	7394	405
948	7403	397
949	7411	390
950	7420	382
951	7425	374
952	7432	366
953	7443	358
954	7451	351
955	7457	343
956	7470	335
957	7477	327
958	7486	320
959	7493	312
960	7501	304
961	7506	296
962	7511	288
963	7519	280
964	7527	273
965	7538	265
966	7545	257
967	7549	249
968	7555	241
969	7563	233
970	7570	226
971	7578	218
972	7585	210
973	7592	202
974	7597	194
975	7605	187
976	7611	179
977	7620	171
978	7628	163
979	7637	155
980	7643	148
981	7650	140
982	7655	132
983	7663	124
984	7670	116
985	7675	108
986	7680	101
987	7687	93
988	7692	85
989	7697	77
990	7703	69
991	7708	62
992	7718	54
993	7725	46
994	7735	38
995	7742	31
996	7750	23
997	7757	15
998	7765	7
999	7773	0
