iter	Logloss
0	0.6511298926
1	0.6127999219
2	0.5809033643
3	0.5499483008
4	0.5276500732
5	0.5036184863
6	0.4842264038
7	0.4680989941
8	0.4540695386
9	0.4396477173
10	0.4273511694
11	0.4185484009
12	0.4087990015
13	0.4008613086
14	0.393326731
15	0.3857037354
16	0.3803365137
17	0.3742105713
18	0.3694566382
19	0.3660523828
20	0.3617311304
21	0.3582370825
22	0.3547520068
23	0.3509210278
24	0.3486375854
25	0.3454687524
26	0.3433019312
27	0.3408815063
28	0.338420459
29	0.3364607593
30	0.3346333398
31	0.3330872144
32	0.3318222095
33	0.330314751
34	0.3295661108
35	0.3280899878
36	0.3268237451
37	0.3258586841
38	0.3247968677
39	0.3236223804
40	0.3225970435
41	0.3215755933
42	0.3208734521
43	0.3201268066
44	0.3192503442
45	0.3183936597
46	0.3174346289
47	0.3166893677
48	0.3160721411
49	0.3154605347
50	0.3147971899
51	0.3143532227
52	0.3137863232
53	0.3131646362
54	0.3127065088
55	0.3121888843
56	0.3119471655
57	0.3114536865
58	0.3107421143
59	0.3102142627
60	0.3097921899
61	0.3093262378
62	0.3088439844
63	0.308485896
64	0.3080025977
65	0.3074563354
66	0.306991438
67	0.3067030908
68	0.3063321924
69	0.3059890015
70	0.3055989185
71	0.305377251
72	0.3049108276
73	0.304424917
74	0.3041984302
75	0.3039491235
76	0.3036283472
77	0.3033123682
78	0.3030221631
79	0.3027727026
80	0.3024648657
81	0.3022014185
82	0.3019326123
83	0.3013534692
84	0.3011174023
85	0.3009067017
86	0.3006335718
87	0.3003353247
88	0.3001438306
89	0.299759873
90	0.2994341504
91	0.2992093774
92	0.2989229419
93	0.2986291626
94	0.298390354
95	0.2982073022
96	0.2979084399
97	0.2977060229
98	0.2974578442
99	0.2972409448
100	0.2969018457
101	0.2966481494
102	0.2964572485
103	0.2962596509
104	0.2956361353
105	0.2954674512
106	0.2951726489
107	0.2949495898
108	0.2945523511
109	0.2944304688
110	0.2942960522
111	0.2941641504
112	0.2938293628
113	0.2936442798
114	0.2934701733
115	0.2933201196
116	0.2931561987
117	0.2929890259
118	0.2926805273
119	0.2924993701
120	0.2923731982
121	0.2922253149
122	0.2921154712
123	0.2918271606
124	0.2916303564
125	0.2914997217
126	0.2912324487
127	0.2911080151
128	0.2908081128
129	0.2906655249
130	0.2904956909
131	0.2903270752
132	0.2899889795
133	0.2898630005
134	0.2893005298
